site,day,date,year,day_of_year,lambda_t,mu_t,sigma2_t,observed_occupancy,admission_count
Site 1,1,2023-01-01,2023,1,1.6,8.68701,75.46416,19,1.6
Site 1,2,2023-01-02,2023,2,1.60689,8.69397,75.58503,16,1.60689
Site 1,3,2023-01-03,2023,3,1.61377,8.70071,75.70241,15,1.61377
Site 1,4,2023-01-04,2023,4,1.62065,8.70725,75.81627,14,1.62065
Site 1,5,2023-01-05,2023,5,1.62752,8.71359,75.92656,12,1.62752
Site 1,6,2023-01-06,2023,6,1.63439,8.7197,76.03325,17,1.63439
Site 1,7,2023-01-07,2023,7,1.64124,8.72561,76.13629,14,1.64124
Site 1,8,2023-01-08,2023,8,1.64808,8.7313,76.23564,13,1.64808
Site 1,9,2023-01-09,2023,9,1.65491,8.73678,76.33127,17,1.65491
Site 1,10,2023-01-10,2023,10,1.66172,8.74203,76.42315,12,1.66172
Site 1,11,2023-01-11,2023,11,1.66852,8.74707,76.51123,6,1.66852
Site 1,12,2023-01-12,2023,12,1.67529,8.75188,76.59549,10,1.67529
Site 1,13,2023-01-13,2023,13,1.68204,8.75648,76.67589,18,1.68204
Site 1,14,2023-01-14,2023,14,1.68877,8.76085,76.75241,9,1.68877
Site 1,15,2023-01-15,2023,15,1.69547,8.76499,76.82501,13,1.69547
Site 1,16,2023-01-16,2023,16,1.70214,8.7689,76.89367,7,1.70214
Site 1,17,2023-01-17,2023,17,1.70878,8.77259,76.95837,16,1.70878
Site 1,18,2023-01-18,2023,18,1.71539,8.77605,77.01907,17,1.71539
Site 1,19,2023-01-19,2023,19,1.72197,8.77928,77.07576,15,1.72197
Site 1,20,2023-01-20,2023,20,1.72851,8.78228,77.12842,13,1.72851
Site 1,21,2023-01-21,2023,21,1.73501,8.78505,77.17702,20,1.73501
Site 1,22,2023-01-22,2023,22,1.74147,8.78758,77.22155,9,1.74147
Site 1,23,2023-01-23,2023,23,1.74789,8.78988,77.26198,9,1.74789
Site 1,24,2023-01-24,2023,24,1.75427,8.79195,77.29831,13,1.75427
Site 1,25,2023-01-25,2023,25,1.7606,8.79378,77.33053,12,1.7606
Site 1,26,2023-01-26,2023,26,1.76688,8.79537,77.35861,15,1.76688
Site 1,27,2023-01-27,2023,27,1.77311,8.79674,77.38255,14,1.77311
Site 1,28,2023-01-28,2023,28,1.77929,8.79786,77.40234,9,1.77929
Site 1,29,2023-01-29,2023,29,1.78542,8.79875,77.41797,22,1.78542
Site 1,30,2023-01-30,2023,30,1.79149,8.7994,77.42944,18,1.79149
Site 1,31,2023-01-31,2023,31,1.79751,8.79981,77.43674,16,1.79751
Site 1,32,2023-02-01,2023,32,1.80347,8.79999,77.43987,11,1.80347
Site 1,33,2023-02-02,2023,33,1.80937,8.79993,77.43883,18,1.80937
Site 1,34,2023-02-03,2023,34,1.8152,8.79964,77.43361,23,1.8152
Site 1,35,2023-02-04,2023,35,1.82097,8.7991,77.42423,20,1.82097
Site 1,36,2023-02-05,2023,36,1.82668,8.79833,77.41068,19,1.82668
Site 1,37,2023-02-06,2023,37,1.83232,8.79733,77.39296,27,1.83232
Site 1,38,2023-02-07,2023,38,1.83789,8.79608,77.3711,15,1.83789
Site 1,39,2023-02-08,2023,39,1.84339,8.79461,77.34509,12,1.84339
Site 1,40,2023-02-09,2023,40,1.84882,8.79289,77.31494,15,1.84882
Site 1,41,2023-02-10,2023,41,1.85417,8.79094,77.28066,12,1.85417
Site 1,42,2023-02-11,2023,42,1.85945,8.78876,77.24228,16,1.85945
Site 1,43,2023-02-12,2023,43,1.86465,8.78634,77.19979,18,1.86465
Site 1,44,2023-02-13,2023,44,1.86978,8.78369,77.15323,19,1.86978
Site 1,45,2023-02-14,2023,45,1.87482,8.78081,77.1026,21,1.87482
Site 1,46,2023-02-15,2023,46,1.87978,8.77769,77.04792,16,1.87978
Site 1,47,2023-02-16,2023,47,1.88466,8.77435,76.98922,21,1.88466
Site 1,48,2023-02-17,2023,48,1.88946,8.77078,76.92652,15,1.88946
Site 1,49,2023-02-18,2023,49,1.89417,8.76697,76.85984,20,1.89417
Site 1,50,2023-02-19,2023,50,1.89879,8.76294,76.7892,21,1.89879
Site 1,51,2023-02-20,2023,51,1.90332,8.75869,76.71464,11,1.90332
Site 1,52,2023-02-21,2023,52,1.90777,8.75421,76.63617,16,1.90777
Site 1,53,2023-02-22,2023,53,1.91212,8.74951,76.55384,18,1.91212
